Date,Max.,Min.,Morn,Eve,Rain,Rainy Days ,PE,Year
,35.0,15.0,83.0,47.0,0.0,0.0,6.96,2009
,37.0,17.0,65.0,43.0,0.0,0.0,7.39,2009
,36.0,19.0,91.0,42.0,0.0,0.0,7.83,2009
,36.0,19.0,96.0,51.0,0.0,0.0,8.26,2009
,34.0,18.0,90.0,57.0,0.0,0.0,8.69,2009
,34.0,19.0,91.0,43.0,0.0,0.0,6.96,2009
,36.0,19.0,75.0,42.0,0.0,0.0,7.83,2009
,36.0,17.0,90.0,41.0,0.0,0.0,6.96,2009
,37.0,17.0,70.0,47.0,0.0,0.0,7.39,2009
,36.0,17.0,66.0,23.0,0.0,0.0,8.26,2009
,37.0,18.0,51.0,27.0,0.0,0.0,8.69,2009
,37.0,19.0,50.0,26.0,0.0,0.0,10.43,2009
,38.0,20.0,69.0,32.0,0.0,0.0,8.26,2009
,38.0,19.0,74.0,49.0,0.0,0.0,8.26,2009
,37.0,18.0,70.0,39.0,0.0,0.0,8.96,2009
,39.0,20.0,62.0,32.0,0.0,0.0,9.56,2009
,39.0,19.0,57.0,39.0,0.0,0.0,7.83,2009
,39.0,21.0,47.0,35.0,0.0,0.0,8.69,2009
,39.0,18.0,69.0,29.0,0.0,0.0,10.43,2009
,37.0,19.0,53.0,39.0,0.0,0.0,6.96,2009
,38.0,18.0,75.0,51.0,2.1,1.0,7.39,2009
,34.0,19.0,61.0,46.0,0.0,0.0,6.09,2009
,36.0,17.0,76.0,39.0,0.0,0.0,7.39,2009
,35.0,20.0,62.0,28.0,0.0,0.0,8.69,2009
,36.0,17.0,57.0,34.0,0.0,0.0,9.56,2009
,37.0,17.0,45.0,29.0,0.0,0.0,9.99,2009
,39.0,19.0,44.0,26.0,0.0,0.0,9.56,2009
,40.0,19.0,34.0,28.0,0.0,0.0,8.69,2009
,41.0,23.0,65.0,30.0,0.0,0.0,10.43,2009
,41.0,25.0,69.0,33.0,0.0,0.0,10.43,2009
,42.0,24.0,76.0,29.0,0.0,0.0,11.73,2009
,39.0,22.0,83.0,35.0,0.0,0.0,10.43,2009
,40.0,19.0,52.0,38.0,0.0,0.0,11.3,2009
,41.0,21.0,64.0,17.0,0.0,0.0,10.86,2009
,42.0,24.0,73.0,25.0,0.0,0.0,11.73,2009
,41.0,24.0,71.0,28.0,0.0,0.0,10.86,2009
,42.0,20.0,67.0,25.0,0.0,0.0,12.17,2009
,39.0,19.0,66.0,23.0,0.0,0.0,13.03,2009
,40.0,24.0,47.0,32.0,0.0,0.0,13.47,2009
,40.0,20.0,77.0,31.0,0.0,0.0,13.03,2009
,41.0,21.0,82.0,25.0,0.0,0.0,11.3,2009
,42.0,20.0,82.0,27.0,0.0,0.0,13.03,2009
,43.0,23.0,55.0,26.0,0.0,0.0,10.43,2009
,44.0,27.0,70.0,19.0,0.0,0.0,11.75,2009
,44.0,25.0,71.0,20.0,0.0,0.0,13.47,2009
,44.0,27.0,83.0,22.0,0.0,0.0,13.9,2009
,42.0,26.0,71.0,23.0,0.0,0.0,13.03,2009
,43.0,27.0,85.0,23.0,0.0,0.0,11.3,2009
,41.0,25.0,62.0,22.0,0.0,0.0,12.17,2009
,41.0,27.0,66.0,23.0,0.0,0.0,13.03,2009
,41.0,25.0,73.0,27.0,0.0,0.0,11.75,2009
,42.0,26.0,69.0,23.0,0.0,0.0,14.77,2009
,40.0,27.0,65.0,20.0,0.0,0.0,15.64,2009
,42.0,24.0,70.0,18.0,0.0,0.0,15.21,2009
,42.0,26.0,78.0,23.0,0.0,0.0,16.08,2009
,43.0,27.0,65.0,22.0,0.0,0.0,12.6,2009
,42.0,27.0,64.0,26.0,0.0,0.0,12.17,2009
,41.0,25.0,77.0,27.0,7.6,1.0,4.34,2009
,39.0,23.0,74.0,27.0,0.0,0.0,10.86,2009
,45.0,26.0,77.0,31.0,0.0,0.0,12.17,2009
,41.0,25.0,82.0,33.0,6.4,1.0,4.34,2009
,41.0,25.0,88.0,22.0,0.0,0.0,8.26,2009
,42.0,25.0,71.0,27.0,0.0,0.0,11.3,2009
,42.0,25.0,63.0,23.0,0.0,0.0,10.43,2009
,40.0,25.0,58.0,27.0,0.0,0.0,12.6,2009
,42.0,26.0,69.0,23.0,0.0,0.0,13.03,2009
,43.0,29.0,88.0,18.0,0.0,0.0,12.17,2009
,41.0,23.0,85.0,20.0,0.0,0.0,13.9,2009
,42.0,27.0,88.0,27.0,0.0,0.0,13.03,2009
,42.0,26.0,85.0,26.0,0.0,0.0,14.34,2009
,42.0,27.0,67.0,27.0,0.0,0.0,15.21,2009
,42.0,27.0,78.0,23.0,0.0,0.0,14.34,2009
,43.0,29.0,76.0,27.0,0.0,0.0,14.77,2009
,41.0,29.0,79.0,46.0,0.0,0.0,14.77,2009
,40.0,28.0,79.0,45.0,0.0,0.0,13.47,2009
,40.0,27.0,65.0,44.0,0.0,0.0,12.6,2009
,37.0,25.0,84.0,52.0,8.8,1.0,13.03,2009
,38.0,26.0,81.0,44.0,0.0,0.0,10.86,2009
,39.0,30.0,83.0,45.0,0.0,0.0,15.21,2009
,40.0,30.0,83.0,27.0,6.2,1.0,8.69,2009
,43.0,23.0,67.0,23.0,0.0,0.0,13.03,2009
,43.0,29.0,49.0,26.0,0.0,0.0,13.03,2009
,41.0,28.0,51.0,27.0,0.0,0.0,13.03,2009
,41.0,27.0,46.0,27.0,0.0,0.0,14.77,2009
,41.0,28.0,69.0,26.0,0.0,0.0,15.21,2009
,42.0,28.0,62.0,27.0,0.0,0.0,13.9,2009
,40.0,30.0,69.0,27.0,18.0,1.0,11.91,2009
,32.0,29.0,77.0,31.0,0.0,0.0,9.56,2009
,38.0,27.0,62.0,36.0,0.0,0.0,8.69,2009
,37.0,26.0,71.0,37.0,6.8,1.0,2.45,2009
,40.0,24.0,76.0,31.0,0.0,0.0,9.5,2009
,39.0,26.0,53.0,27.0,0.0,0.0,10.43,2009
,40.0,27.0,74.0,27.0,0.0,0.0,13.03,2009
,42.0,28.0,83.0,23.0,0.0,0.0,12.17,2009
,42.0,31.0,48.0,25.0,0.0,0.0,13.9,2009
,42.0,28.0,66.0,29.0,0.0,0.0,11.3,2009
,41.0,29.0,66.0,27.0,0.0,0.0,13.03,2009
