Date,Max.,Min.,Morn,Eve,Rain,Rainy Days ,PE,Year
30.01.20,22.0,8.0,78.0,49.0,0.0,0.0,2.17,1996
31.01.20,23.0,7.0,78.0,49.0,0.0,0.0,1.74,1996
01.02.20,22.5,7.5,78.0,49.0,0.0,0.0,1.74,1996
02.02.20,23.0,6.5,78.0,49.0,0.0,0.0,1.74,1996
03.02.20,24.0,7.5,78.0,49.0,0.0,0.0,2.17,1996
04.02.20,24.0,11.0,78.0,49.0,0.0,0.0,2.6,1996
05.02.20,22.5,12.0,78.0,49.0,0.0,0.0,1.3,1996
06.02.20,24.0,11.0,78.0,49.0,0.0,0.0,0.87,1996
07.02.20,24.5,10.5,78.0,49.0,0.0,0.0,1.3,1996
08.02.20,24.5,9.5,78.0,49.0,0.0,0.0,1.3,1996
09.02.20,24.0,8.0,78.0,49.0,0.0,0.0,1.74,1996
10.02.20,25.0,6.5,78.0,49.0,0.0,0.0,1.74,1996
11.02.20,25.5,7.5,78.0,49.0,0.0,0.0,1.74,1996
12.02.20,27.0,9.5,78.0,49.0,0.0,0.0,2.17,1996
13.02.20,28.0,9.0,78.0,49.0,0.0,0.0,2.6,1996
14.02.20,29.0,8.0,78.0,49.0,0.0,0.0,2.6,1996
15.02.20,29.0,11.0,78.0,49.0,0.0,0.0,2.6,1996
16.02.20,28.0,10.0,78.0,49.0,0.0,0.0,3.04,1996
17.02.20,28.0,8.5,78.0,49.0,0.0,0.0,3.91,1996
18.02.20,30.0,7.0,78.0,49.0,0.0,0.0,3.04,1996
19.02.20,30.0,8.5,78.0,49.0,0.0,0.0,3.47,1996
20.02.20,31.0,12.5,78.0,49.0,0.0,0.0,3.47,1996
21.02.20,30.0,123.5,78.0,49.0,0.0,0.0,3.47,1996
22.02.20,29.0,15.0,78.0,49.0,0.0,0.0,3.47,1996
23.02.20,29.5,14.0,78.0,49.0,0.0,0.0,3.47,1996
24.02.20,30.0,13.5,78.0,49.0,0.0,0.0,3.47,1996
25.02.20,28.0,10.5,78.0,49.0,0.0,0.0,3.91,1996
26.02.20,28.0,9.0,78.0,49.0,0.0,0.0,2.6,1996
27.02.20,29.5,11.5,78.0,49.0,0.0,0.0,3.04,1996
28.02.20,30.0,12.0,78.0,49.0,0.0,0.0,3.47,1996
29.02.20,29.0,13.0,78.0,49.0,0.0,0.0,3.04,1996
01.03.20,28.0,13.5,78.0,49.0,0.0,0.0,3.04,1996
02.03.20,26.5,13.0,78.0,49.0,1.2,1.0,2.17,1996
03.03.20,28.0,13.0,78.0,49.0,0.0,0.0,0.87,1996
04.03.20,30.0,11.5,78.0,49.0,0.0,0.0,2.17,1996
05.03.20,30.0,12.0,78.0,49.0,0.0,0.0,2.6,1996
06.03.20,29.0,11.0,78.0,49.0,0.0,0.0,2.17,1996
07.03.20,28.0,11.0,78.0,49.0,0.0,0.0,2.6,1996
08.03.20,28.0,10.5,78.0,49.0,0.0,0.0,2.6,1996
09.03.20,28.0,10.0,78.0,49.0,0.0,0.0,2.6,1996
10.03.20,27.0,11.0,78.0,49.0,0.0,0.0,2.17,1996
11.03.20,29.0,11.5,78.0,49.0,0.0,0.0,2.6,1996
12.03.20,29.5,13.0,78.0,49.0,0.0,0.0,3.04,1996
13.03.20,29.5,12.0,78.0,49.0,0.0,0.0,3.04,1996
14.03.20,29.0,10.5,78.0,49.0,0.0,0.0,2.6,1996
15.03.20,28.5,9.5,78.0,49.0,0.0,0.0,2.6,1996
16.03.20,28.5,9.0,78.0,49.0,0.0,0.0,2.6,1996
17.03.20,31.0,11.5,78.0,49.0,0.0,0.0,3.04,1996
18.03.20,33.0,15.0,78.0,49.0,0.0,0.0,3.91,1996
19.03.20,35.0,17.0,78.0,49.0,3.1,1.0,1.74,1996
20.03.20,31.5,16.0,78.0,49.0,0.0,0.0,4.34,1996
21.03.20,33.0,13.0,78.0,49.0,0.0,0.0,5.21,1996
22.03.20,34.0,12.5,78.0,49.0,0.0,0.0,4.77,1996
23.03.20,35.0,12.0,78.0,49.0,0.0,0.0,5.21,1996
24.03.20,36.0,16.5,78.0,49.0,0.0,0.0,5.64,1996
25.03.20,31.0,17.0,78.0,49.0,0.0,0.0,6.94,1996
